ExternalReference,firstgen,mc.reside,mc.housing,mc.housingCountry,mc.QN28,mx.QN100_1,mx.QN100_2,mx.QN100_3,mx.QN104_2,mx.QN104_3,mx.QN104_4,mx.QN104_1,mx.QN104_5,mx.QN104_7,mx.QN104_8,mx.QN105_2,mx.QN105_3,mx.QN105_4,mx.QN105_5,mx.QN105_6,mx.QN105_7,mx.QN105_8,mx.QN105_9,mx.QN105_10,mx.mindset_1,mx.mindset_2,mx.mindset_3,mx.interSupport_1,mx.interSupport_2,mx.interSupport_3,mx.interSupport_4,mx.commSatisfy_1,mx.commSatisfy_3,mx.commSatisfy_4,mx.commSatisfy_6,mx.commSatisfy_7,mx.commFreq_1,mx.commFreq_2,mx.commFreq_3,mx.commFreq_4,mx.commFreq_5,mx.commFreq_6,mx.commAgree_1,mx.commAgree_2,mx.commAgree_3,mx.commAgree_4,mx.commAgree_5,mx.commAgree_6,mc.QN30,mc.QN94,mc.acdEssential,ms.acdEssentialcrs_1,ms.acdEssentialcrs_2,ms.acdEssentialcrs_3,mx.QN980_1,mx.QN980_2,mx.QN980_3,rk.QN98_1,rk.QN98_2,rk.QN98_3,rk.QN98_4,rk.QN98_5,rk.QN98_6,rk.QN98_7,mc.intMajor,mc.intmajorSauder,mx.QN111_2,mx.QN111_4,mx.QN111_7,mc.commuteFreq,mc.QN44,mc.QN45,mc.commuteerrand,mc.wbFamdoc,mc.wbMntsprt,mc.wbNavigate,ms.healthResource_1,ms.healthResource_2,ms.healthResource_3,ms.healthResource_4,ms.healthResource_5,ms.healthResource_6,cs.QN34_1,cs.QN34_2,cs.QN34_3,cs.QN34_4,cs.QN34_5,cs.QN34_6,cs.QN34_7,mc.QN37,mc.QN40,mc.QN41,mc.QN35,mc.QN36,ms.covidFinance_1,ms.covidFinance_2,ms.covidFinance_3,ms.covidFinance_4,ms.covidFinance_5,mc.covidTuition,mc.spApply,ms.spRestriction_1,ms.spRestriction_2,ms.spRestriction_3,ms.spRestriction_4,ms.spRestriction_7,ms.spRestriction_8,ms.QN48_1,ms.QN48_17,ms.QN48_18,ms.QN48_2,ms.QN48_3,ms.QN48_4,ms.QN48_5,ms.QN48_6,ms.QN48_7,ms.QN48_8,ms.QN48_9,ms.QN48_10,ms.QN48_11,ms.QN48_13,ms.QN48_14,ms.QN48_15,ms.QN48_16,mc.QN50,mc.QN52,ms.QN53_1,ms.QN53_2,ms.QN53_3,ms.QN53_4,ms.QN54_1,ms.QN54_2,ms.QN54_3,ms.QN54_4,ms.QN54_5,ms.QN54_6,ms.QN54_7,ms.QN54_8,ms.QN54_9,ms.QN54_10,ms.QN54_11,ms.QN54_12,ms.QN54_13,ms.QN54_14,ms.QN54_15,ms.QN54_16,ms.QN54_19,ms.QN54_20,ms.QN54_21,ms.QN54_22,ms.QN54_17,ms.QN54_18,ms.QN55_1,ms.QN55_2,ms.QN55_3,ms.QN55_4,ms.QN55_5,ms.QN55_6,ms.QN55_7,ms.QN55_8,ms.QN55_9,ms.QN55_10,ms.QN55_11,ms.QN55_12,ms.QN55_13,ms.QN55_14,ms.QN55_15,ms.QN55_16,ms.QN55_19,ms.QN55_20,ms.QN55_21,ms.QN55_22,ms.QN55_17,ms.QN55_18,mc.QN66,mc.QN67,mc.QN56,mc.QN57,mc.QN58,ms.QN59_1,ms.QN59_2,ms.QN59_3,ms.QN59_4,ms.QN59_5,ms.QN59_6,ms.QN59_7,ms.QN59_8,ms.QN59_9,mc.Q97,mc.daRsrc,campusName,final_faculty,year,rk.QN98complete,intmajorNew,ms.acdessentialcrsSum,ms.healthResourcesum,cs.QN34Sum,ms.covidFinanceSum,ms.spRestrictionSum,ms.QN53Sum,ms.healthResource_9,mx.QN65_1,mx.QN65_2,mx.QN65_3,mx.QN65_7,mx.QN65_4,mx.QN65_5,mx.QN65_6,directtransfer,ISI_STATUS
NUBC2021_ 5128,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ECON,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,ISI
NUBC2021_ 28355,Non-First Gen,6,1,,6,6,6,5,5,4,5,1,2,,5,3,4,5,1,1,3,2,4,,6,6,6,6,5,6,6,5,5,5,5,5,2,1,1,1,1,2,5,5,5,5,5,4,1,1,0,0,0,0,,,,2,4,6,1,3,7,5,37,,6,6,6,,,,5,0,0,2,0,1,0,0,0,0,30,0,0,0,70,0,0,0,,,1,1,0,1,1,1,0,4,1,1,0,0,1,1,0,,,,,,,,,,,,1,,,,,,0,999,0,0,0,0,1,,0,0,0,,,0,1,0,0,0,0,0,,,,0,0,,1,,1,,0,0,,,,,1,0,0,,0,0,,,,,0,,0,,4,5,2,1,1,,0,0,,,0,1,,,,999,Okanagan,FOS,2021,Y,37,0,1,100,3,3,0,0,5,5,3,3,5,6,6,DIRECT-ENTRY,ISI
NUBC2021_ 4339,NA,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,ISI
NUBC2021_ 28482,NA,3,1,,5,5,4,4,1,1,1,1,1,2,,1,2,1,1,1,1,2,1,,5,6,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,COMM,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 6013,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,SCIE,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 15900,NA,3,1,,4,5,4,5,5,5,4,3,4,5,,4,4,5,4,5,4,5,5,,4,4,5,4,4,5,6,4,5,5,3,4,3,2,1,2,2,3,3,4,3,5,5,3,1,,999,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,ISI
NUBC2021_ 19753,NA,1,1,,5,5,,,2,,,,,,,3,,,,,,,,,5,5,5,4,5,6,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,SCIE,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 12111,Non-First Gen,6,1,,5,5,5,5,4,3,5,1,1,1,1,4,3,3,1,2,1,2,4,,5,5,5,5,5,6,6,3,4,4,5,5,1,2,1,1,1,2,4,5,4,4,4,2,1,,0,0,0,0,5,5,3,4,2,1,6,7,5,3,96,,1,5,5,,,,5,0,0,2,1,0,0,0,1,1,30,0,0,0,0,0,70,0,,,5,4,0,0,0,0,1,999,1,1,0,0,1,0,0,,,,,,,,,,,,,,,1,,,0,1,0,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,1,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,1,,5,5,2,1,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,96,0,3,100,1,2,1,0,5,5,5,5,6,4,5,DIRECT-ENTRY,ISI
NUBC2021_ 7762,NA,4,3,,5,6,6,6,1,3,4,1,1,2,,4,5,2,2,2,2,1,3,,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,3,3,5,5,5,5,5,5,1,1,999,0,0,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,FASS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 20286,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,ISI
NUBC2021_ 1308,NA,1,4,,5,6,5,6,3,2,1,1,1,1,,1,1,1,1,2,1,1,1,,5,5,5,6,6,6,6,5,5,5,6,5,2,2,2,2,2,2,5,6,5,6,6,6,1,,999,0,0,0,6,6,6,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,FRST,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 15903,First Gen,1,4,,6,6,6,6,3,3,1,1,1,1,,1,1,1,1,1,2,1,1,,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,6,6,6,6,6,6,1,,1,0,0,0,5,5,5,NA,NA,NA,NA,NA,NA,7,53,,6,6,6,3,5,3,,1,0,2,1,0,0,1,0,0,0,0,0,100,0,0,0,0,,,5,5,0,0,0,0,1,999,0,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,1,1,1,0,0,0,1,,0,0,1,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,1,,,,0,0,0,,0,0,,,,,0,,0,,2,2,2,1,1,,0,0,,,0,0,1,,3,,Vancouver,APSC,2021,NA,53,0,2,100,1,1,1,0,6,6,6,6,6,6,6,DIRECT-ENTRY,Domestic
NUBC2021_ 9943,NA,1,4,,3,4,3,3,5,3,5,5,5,2,,2,1,2,5,2,4,3,3,,3,6,6,3,5,6,6,2,2,1,2,2,2,2,1,2,3,3,3,3,4,2,3,2,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 24674,NA,1,4,,4,6,6,5,3,5,3,1,1,2,,4,3,5,2,1,5,1,2,,5,6,5,4,6,5,6,4,4,5,4,999,2,2,2,2,2,2,5,4,5,5,5,4,1,,999,0,0,0,4,4,4,1,2,4,3,6,7,5,97,,5,5,4,2,5,3,,1,0,2,0,0,0,0,0,0,20,5,5,0,70,0,0,0,,,4,3,0,0,0,0,1,2,0,0,0,0,0,0,1,,,,,,,,,,1,,,,,,,,0,1,1,1,0,1,1,,0,0,0,1,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,1,,,0,0,0,,0,0,,,,,0,,0,,6,6,1,1,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,97,0,1,100,1,1,3,1,4,4,4,4,4,4,4,DIRECT-ENTRY,Domestic
NUBC2021_ 9147,NA,1,4,,6,6,6,6,2,3,2,1,1,2,,3,1,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 10605,1 Parent,5,1,,4,6,6,5,2,4,4,3,1,1,,5,1,1,1,2,3,1,4,,5,5,5,4,6,6,6,5,4,4,4,4,2,2,2,2,1,1,4,4,4,4,5,4,0,,999,0,0,0,4,3,3,1,7,2,3,4,6,5,161,,2,6,4,,,,999,1,1,1,0,0,0,0,0,0,50,0,20,0,0,30,0,0,,,5,4,0,0,0,0,1,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,0,0,1,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,5,1,1,1,,0,0,,,0,1,,,1,,Vancouver,SCIE,2021,Y,161,0,1,100,1,1,1,1,5,5,5,5,3,5,4,DIRECT-ENTRY,Domestic
NUBC2021_ 21556,NA,4,1,,4,5,5,4,3,4,4,1,2,2,,2,3,4,3,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,FOS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 26009,NA,5,4,,6,6,6,6,2,2,2,2,1,2,,1,3,1,4,4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,HKIN,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 24061,NA,4,1,,5,5,5,5,2,4,3,1,3,2,,2,2,4,2,2,4,2,3,,5,5,5,5,6,5,6,5,4,5,5,4,2,2,1,2,2,2,5,5,4,4,5,4,1,2,0,0,0,0,4,4,5,1,6,5,2,3,7,4,29,,5,6,6,,,,5,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,HSD,2021,Y,29,0,4,0,0,0,0,0,4,4,4,4,3,4,4,DIRECT-ENTRY,Domestic
NUBC2021_ 23072,NA,1,2,,4,6,6,6,1,1,3,1,1,1,,1,1,1,5,5,2,5,5,,6,6,6,6,6,6,6,6,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,0,,999,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 5901,NA,6,1,,5,6,999,999,2,2,2,999,999,2,1,3,1,2,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,FRST,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,ISI
NUBC2021_ 17242,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,MGMT,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 30364,NA,1,4,,5,6,5,5,1,4,2,1,1,1,,2,1,2,1,1,4,1,2,,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,COMM,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 26341,NA,1,4,,3,5,5,5,4,4,4,1,4,3,,4,1,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,ISI
NUBC2021_ 20398,NA,1,4,,5,6,6,5,3,5,5,1,1,2,,4,2,3,1,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 23930,NA,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,MGMT,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 1540,NA,6,1,,5,6,6,6,4,4,4,2,1,1,1,2,2,2,2,3,2,1,2,,6,6,6,5,6,6,6,2,4,4,3,5,3,3,1,1,1,2,1,2,2,4,5,3,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,FOS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,ISI
NUBC2021_ 29380,NA,4,3,,4,5,5,5,1,3,1,1,1,1,,5,5,2,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,APSO,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,TRANSFER,Domestic
NUBC2021_ 25083,NA,5,1,,5,6,5,5,4,3,3,1,3,3,,3,4,4,4,4,4,2,3,,5,5,5,5,5,5,5,5,3,3,4,5,1,2,1,2,2,1,5,4,4,4,5,4,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,FOS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 20847,NA,1,1,,5,5,6,6,1,4,2,2,2,1,,5,2,4,2,4,5,1,4,,5,4,4,5,6,6,6,4,6,6,5,4,2,2,1,2,1,3,5,5,6,5,6,6,1,,1,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 7818,NA,2,5,,4,5,6,4,3,4,4,1,1,3,,2,1,3,1,1,3,1,4,,5,4,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Okanagan,FASS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
NUBC2021_ 10087,NA,1,4,,5,6,6,5,2,2,1,1,1,2,,2,1,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,,,,,,,0,0,,,0,0,,,,,Vancouver,ARTS,2021,NA,No Response,0,0,0,0,0,0,0,,,,,,,,DIRECT-ENTRY,Domestic
